title,artist,album,year,genre,label,file_path,tempo,timbre
Lofty Can,Pangaea,In Drum Play,2016,Electronic,Hessle Audio,/mnt/d/MIR_music/Hessle/Pangaea-In_Drum_Play-(HESLP003)-WEB-2016-MOHAWK/07-pangaea-lofty_can-3a324ef1.mp3,123.046875,"-59.149437,74.794525,10.565749,29.044212,-12.600286,7.7379804,8.367617,2.0649867,-5.49669,6.7264957,-5.5248604,0.97174126,-5.7877674,5.057061,-0.9967631,8.065841,-0.22049518,5.5374975,-2.9839394,3.8375113"
Send It In,Pangaea,In Drum Play,2016,Electronic,Hessle Audio,/mnt/d/MIR_music/Hessle/Pangaea-In_Drum_Play-(HESLP003)-WEB-2016-MOHAWK/08-pangaea-send_it_in-8d2ecf6b.mp3,57.421875,"-88.39671,99.830246,3.9718924,10.765689,3.4463127,11.758713,-8.148602,3.7767847,0.59884626,1.0302196,-1.9511805,5.369942,1.8077743,2.5868108,-1.5812253,6.52363,0.5690328,5.886138,0.073287,2.6166236"
Skips Desk,Pangaea,In Drum Play,2016,Electronic,Hessle Audio,/mnt/d/MIR_music/Hessle/Pangaea-In_Drum_Play-(HESLP003)-WEB-2016-MOHAWK/09-pangaea-skips_desk-975f620d.mp3,172.265625,"-124.70926,111.15165,19.078823,24.255533,10.218332,15.214843,5.0118694,10.105487,-1.1536078,3.2011433,0.51734614,4.099116,-0.8851567,3.7664092,0.36114827,4.057682,1.8383123,4.6816635,0.9552235,3.0160975"
DNS,Pangaea,In Drum Play,2016,Electronic,Hessle Audio,/mnt/d/MIR_music/Hessle/Pangaea-In_Drum_Play-(HESLP003)-WEB-2016-MOHAWK/10-pangaea-dns-a09290f1.mp3,143.5546875,"-161.82211,90.76054,23.775051,31.441092,17.695078,19.031881,12.301858,19.294382,9.586807,13.032957,7.2913895,7.821095,3.5895967,6.042301,-0.5266178,2.4848351,-1.9626554,3.1936457,0.2152681,3.9648988"
Alien Mode,Pearson Sound,Alien Mode,2020,Breakbeat / Bass,Hessle Audio,/mnt/d/MIR_music/Hessle/Pearson Sound - Alien Mode (2020) [HES037]/01 - Alien Mode.mp3,135.99917763157896,"-92.972305,62.565563,22.558702,31.800556,3.3555815,20.12574,8.807498,6.5500813,2.8221176,6.8720374,4.1794505,3.75209,-2.0726209,1.4855106,-3.5119264,4.9739413,2.5820024,1.754571,-3.3196492,2.0625806"
Cobwebs,Pearson Sound,Alien Mode,2020,Breakbeat / Bass,Hessle Audio,/mnt/d/MIR_music/Hessle/Pearson Sound - Alien Mode (2020) [HES037]/02 - Cobwebs.mp3,103.359375,"-126.22709,53.158752,22.212461,27.543028,1.959264,14.243055,11.834373,15.172151,-1.676838,1.5665736,-3.3818605,3.9072342,5.360269,12.642994,1.6574913,2.592489,-5.3279967,-4.739261,-2.2622166,3.8838286"
Everything Is Inside Out,Pearson Sound,Alien Mode,2020,Breakbeat / Bass,Hessle Audio,/mnt/d/MIR_music/Hessle/Pearson Sound - Alien Mode (2020) [HES037]/03 - Everything Is Inside Out.mp3,161.4990234375,"-174.39197,102.99582,27.570074,36.152813,25.754566,22.063707,11.038789,8.202288,3.3588316,8.5889635,0.50689965,1.7539179,-3.405581,1.2055188,-3.86108,-1.2937634,-5.1226826,-5.7482247,-8.101101,-0.2512379"
Clutch,Pearson Sound,Clutch / Underdog / Piston,2012,Other,Hessle Audio,/mnt/d/MIR_music/Hessle/Pearson Sound - Clutch  Underdog  Piston [HES022]/01_Clutch.mp3,123.046875,"-178.85014,26.064238,22.362707,16.017872,-5.8081665,14.673245,-2.5104218,14.610019,3.0789838,5.870634,0.7963101,2.6225026,-0.9527076,6.7423525,1.7225964,4.841178,2.487535,1.8172787,-0.24319895,4.0804086"
Underdog,Pearson Sound,Clutch / Underdog / Piston,2012,Other,Hessle Audio,/mnt/d/MIR_music/Hessle/Pearson Sound - Clutch  Underdog  Piston [HES022]/02_Underdog.mp3,129.19921875,"-242.18251,62.750896,4.890839,20.98834,8.5457,20.663666,15.734809,5.899125,-1.3916091,-0.52495486,5.765774,8.285028,-0.42545742,-1.1886998,-1.9724201,-1.3526714,-2.044554,0.27251545,-0.15822431,2.1899807"
Piston,Pearson Sound,Clutch / Underdog / Piston,2012,Other,Hessle Audio,/mnt/d/MIR_music/Hessle/Pearson Sound - Clutch  Underdog  Piston [HES022]/03_Piston.mp3,89.10290948275862,"-199.38759,33.05103,14.755089,16.473671,-13.196228,13.12835,-16.097342,8.305219,-5.0750175,-5.356654,-1.9612935,-5.378524,-7.985644,0.721711,-10.177562,-2.0546498,-13.647399,-2.2471428,-6.9927497,-6.8862243"
