title,artist,album,year,genre,label,file_path,tempo,timbre
,,,,,clone.nl,/mnt/d/MIR_music/clone_ytdlp/DJ Joe Lewis - Change Reaction - CCC029.mp3,123.046875,"-146.70601,80.726814,10.550985,18.246044,28.79695,10.847589,15.532154,17.844675,0.5593611,16.477169,2.3517349,10.601452,2.1091442,2.8176541,2.3383374,5.241565,-0.6166665,4.0129304,-3.093582,-0.05909899"
,,,,,clone.nl,/mnt/d/MIR_music/clone_ytdlp/DJ Joe Lewis - Midnight Dancin' (Dancin' Mix) (Clone Classic Cuts 033).mp3,117.45383522727273,"-159.03046,95.07027,5.1332283,25.770542,29.912542,8.241018,24.24615,12.361152,10.636411,13.237103,4.318512,5.856041,2.2041545,6.1405373,2.861777,5.2190886,-0.28231138,2.5397432,-2.938062,-0.49633002"
,,,,,clone.nl,/mnt/d/MIR_music/clone_ytdlp/DJ Joe Lewis - Midnight Dancin' (Radio Mix) (Clone Classic Cuts 033).mp3,117.45383522727273,"-113.62313,100.63618,9.421504,24.291372,17.111439,18.12269,10.652311,14.5385275,4.451339,5.5341916,5.0919027,2.0150163,2.111893,2.1203368,-0.060249265,1.9356884,-0.32825306,4.707037,-0.96064436,0.26317415"
,,,,,clone.nl,/mnt/d/MIR_music/clone_ytdlp/DJ Joe Lewis - Midnight Dancin' Club Mix (Clone Classic Cuts 033).mp3,117.45383522727273,"-137.54118,111.56711,15.6337595,28.722012,18.438332,16.943483,10.035685,15.304818,3.2739582,6.6241665,3.2612534,2.05614,1.7823067,1.4734428,0.7954017,3.2170331,-0.37606984,5.269884,2.2561574,0.7345941"
,,,,,clone.nl,/mnt/d/MIR_music/clone_ytdlp/DJ Joe Lewis - Simply Yours (Clone Classic Cuts 033).mp3,129.19921875,"-188.69682,84.79121,41.671947,50.71687,15.093574,28.963125,12.689093,19.117018,6.631164,11.434876,4.148708,10.177369,4.2807755,9.120008,5.6952066,7.0127044,2.6875875,5.2730956,4.6475506,5.608598"
,,,,,clone.nl,/mnt/d/MIR_music/clone_ytdlp/DJ Kaos - Kosmischer Ruckenwind (Elitechnique Remix) (Clone Loft Supreme 010).mp3,123.046875,"-101.9294,90.54632,21.474495,31.567907,6.163937,13.008546,0.7226146,4.6866474,-2.0961404,6.218954,-5.054191,4.0844283,-2.798367,2.020267,-2.2862837,1.0861366,-5.3490524,0.59000236,-3.2229018,-1.3318042"
,,,,,clone.nl,/mnt/d/MIR_music/clone_ytdlp/DJ Kaos - Rough Side (Clone Loft Supreme 05).mp3,123.046875,"-124.83452,51.5547,32.276695,23.85343,10.893803,19.03435,-0.18425892,13.228788,-3.3255885,10.718171,-1.3969525,4.487549,-1.1149864,0.3153345,0.09578782,0.46820349,-2.2515283,3.4194367,-1.698117,3.2113502"
,,,,,clone.nl,/mnt/d/MIR_music/clone_ytdlp/dj Schmerzlabor (aka Guy Tavares) - Clone Label Night at TrouwAmsterdam 15-8-2014.mp3,129.19921875,"-44.27705,96.027954,14.825467,24.130817,4.274876,2.7732544,-7.9654703,3.2677574,-5.8763056,2.6925397,-5.064486,2.8432868,-2.7325776,1.7083421,-5.658837,-2.333855,-5.378288,-3.6883452,-4.6663475,-0.5263938"
,,,,,clone.nl,/mnt/d/MIR_music/clone_ytdlp/Drexciya - Black Sea (Aqualung Version) (Clone Aqualung 004).mp3,135.99917763157896,"-49.114628,88.26247,22.666279,17.675386,12.915955,14.253912,1.6839662,8.988229,-1.6965601,7.4269724,-2.6224968,4.5240555,1.1291478,3.0566823,-0.024672773,3.2268314,-1.7769041,3.148039,-0.08185615,1.0589198"
,,,,,clone.nl,/mnt/d/MIR_music/clone_ytdlp/Drexciya - Grava 4 - Astronomical Guidepost.mp3,117.45383522727273,"-187.94197,33.416615,58.95935,33.863457,3.623264,36.16135,-0.24051084,21.45454,1.6056286,13.513157,7.0804305,11.421056,6.3860955,7.3064604,6.9060264,8.514092,9.373399,10.685083,4.3057876,7.347229"
