,title,artist,album,year,genre,label,file_path,tempo,timbre,genres,styles
23,Plexus (Fear-E's Right in the Solar Plexus Mix),9th House,Planetary EP (Feat. Baltra & Fear-E),2019,,Unknown to the Unknown,/mnt/d/UTTU/9th House/9th House - Planetary EP (Feat. Baltra & Fear-E) - 04 Plexus (Fear-E's Right in the Solar Plexus Mix).mp3,129.19921875,"-55.27052,45.93496,28.443865,15.786768,5.543235,18.622091,3.785599,3.440082,-4.2693095,10.2272625,8.04771,13.913521,2.5291932,5.0821114,6.611301,13.429671,-2.5443814,0.107957065,2.5058815,5.4721665",Search Failed,Search Failed
24,Phoenica,9th House,9th House - Phoenica + Loods Remix,2021,,Unknown to the Unknown,/mnt/d/UTTU/9th House - 9th House - Phoenica + Loods Remix/9th House - 9th House - Phoenica + Loods Remix - 01 Phoenica.mp3,123.046875,"-84.93502,58.47037,14.674264,23.147816,0.07046747,11.495614,-2.5786831,6.329691,-2.158557,3.2223756,-2.3697515,4.061891,1.2807474,7.8527393,1.9234846,2.3420289,-3.9347765,1.8987632,-2.307657,0.5913174",Search Failed,Search Failed
25,Phoenica (Loods Remix),9th House,9th House - Phoenica + Loods Remix,2021,,Unknown to the Unknown,/mnt/d/UTTU/9th House - 9th House - Phoenica + Loods Remix/9th House - 9th House - Phoenica + Loods Remix - 02 Phoenica (Loods Remix).mp3,129.19921875,"-38.805588,59.886757,15.697188,7.751854,-3.876255,8.748095,-5.011504,9.218468,-0.45686388,7.0989237,-2.0830219,4.291303,3.936764,6.254586,4.1018553,5.2754483,-0.06548783,6.052075,-2.7629495,2.091722",Search Failed,Search Failed
26,Orion,9th House,9th House - Phoenica + Loods Remix,2021,,Unknown to the Unknown,/mnt/d/UTTU/9th House - 9th House - Phoenica + Loods Remix/9th House - 9th House - Phoenica + Loods Remix - 03 Orion.mp3,123.046875,"-70.67294,90.5771,17.67645,23.673027,-4.129348,8.030358,-6.8897896,4.7896924,-6.4704266,4.1243405,-4.7381215,5.846005,-2.5578358,1.4545374,-4.086857,0.965814,-5.1200624,0.52103996,-0.070771515,5.1041317",Search Failed,Search Failed
27,Changing Contrast,Aaron Rutherford,Changing Contrast,2022,,Unknown to the Unknown,/mnt/d/UTTU/Aaron Rutherford/Aaron Rutherford - Changing Contrast - 01 Changing Contrast.mp3,129.19921875,"-112.10286,64.90616,31.66615,29.58975,14.123624,4.251611,-0.8437997,2.6479788,-5.976158,-4.2449474,-8.981638,-3.8335595,-2.2173326,4.464488,2.493469,1.0847416,-3.8572495,-1.9897969,-5.838254,-2.627998",Search Failed,Search Failed
28,Gradient,Aaron Rutherford,Changing Contrast,2022,,Unknown to the Unknown,/mnt/d/UTTU/Aaron Rutherford/Aaron Rutherford - Changing Contrast - 02 Gradient.mp3,123.046875,"-120.48603,44.63129,13.051826,12.142477,10.466699,7.84697,0.95960927,7.1309757,4.1220603,4.783948,-2.4680636,2.3389502,-0.107164085,6.5854607,4.629474,7.899934,1.8939114,4.0884895,3.5339406,-0.24066794",Search Failed,Search Failed
29,Vision,Aaron Rutherford,Changing Contrast,2022,,Unknown to the Unknown,/mnt/d/UTTU/Aaron Rutherford/Aaron Rutherford - Changing Contrast - 03 Vision.mp3,123.046875,"-124.40594,80.889946,60.05625,20.626392,17.307045,12.183325,2.138118,7.5057764,-4.127397,-0.3465541,-6.791148,-2.9627583,-2.0682979,1.0479807,-2.1872141,-1.2656195,-5.3734794,-1.7174093,-1.7913325,1.5995154",Search Failed,Search Failed
30,Retract,Aaron Rutherford,Changing Contrast,2022,,Unknown to the Unknown,/mnt/d/UTTU/Aaron Rutherford/Aaron Rutherford - Changing Contrast - 04 Retract.mp3,129.19921875,"-79.715706,63.57736,-0.30918828,21.48608,15.336996,11.602477,2.5268693,6.754712,-1.5504974,4.9365563,-1.1884009,1.8789364,-0.9892867,2.6213903,2.3411572,7.385465,-0.9527778,1.6793094,-0.99820197,1.0853578",Search Failed,Search Failed
31,Changing Contrast,Aaron Rutherford,Changing Contrast,2022,,Unknown to the Unknown,/mnt/d/UTTU/Aaron Rutherford - Changing Contrast/Aaron Rutherford - Changing Contrast - 01 Changing Contrast.mp3,129.19921875,"-112.10286,64.90616,31.66615,29.58975,14.123624,4.251611,-0.8437997,2.6479788,-5.976158,-4.2449474,-8.981638,-3.8335595,-2.2173326,4.464488,2.493469,1.0847416,-3.8572495,-1.9897969,-5.838254,-2.627998",Search Failed,Search Failed
32,Gradient,Aaron Rutherford,Changing Contrast,2022,,Unknown to the Unknown,/mnt/d/UTTU/Aaron Rutherford - Changing Contrast/Aaron Rutherford - Changing Contrast - 02 Gradient.mp3,123.046875,"-120.48603,44.63129,13.051826,12.142477,10.466699,7.84697,0.95960927,7.1309757,4.1220603,4.783948,-2.4680636,2.3389502,-0.107164085,6.5854607,4.629474,7.899934,1.8939114,4.0884895,3.5339406,-0.24066794",Search Failed,Search Failed
