,title,artist,album,year,genre,label,file_path,tempo,timbre,genres,styles
805,All Around,Kloke,Cosmik Connection Vol.2,2022,,Unknown to the Unknown,/mnt/d/UTTU/Kloke/Kloke - Cosmik Connection Vol.2 - 02 All Around.mp3,107.666015625,"-22.830929,59.781902,7.7411246,12.567583,-4.026103,5.6665726,-3.1053731,6.6713824,-4.0705433,4.3388824,-1.2249537,4.836433,-1.9911071,-0.70129544,-4.7092624,3.2570934,-1.3188293,1.4447465,-1.1965308,6.4270287",Electronic,"Jungle, Drum n Bass"
806,Dreams,Kloke,Cosmik Connection Vol.2,2022,,Unknown to the Unknown,/mnt/d/UTTU/Kloke/Kloke - Cosmik Connection Vol.2 - 03 Dreams.mp3,107.666015625,"-36.347565,38.89621,13.2933035,21.371838,4.986587,9.456492,-2.7813072,5.737018,-4.2253294,0.6840373,-7.7431636,4.338307,-7.2296953,5.1147385,-3.1107936,6.9444313,-5.742777,3.6298795,-4.539336,3.6181905",Electronic,"Jungle, Drum n Bass"
807,Rhythm Equation,Kloke,Cosmik Connection Vol.2,2022,,Unknown to the Unknown,/mnt/d/UTTU/Kloke/Kloke - Cosmik Connection Vol.2 - 04 Rhythm Equation.mp3,161.4990234375,"-58.95291,70.12868,9.154762,21.081099,4.510252,10.2991085,-2.2532082,5.6273227,-4.9275913,6.037246,-3.0219061,1.9466004,-2.6447957,3.551679,-1.7805831,3.6325467,-0.7043409,5.6533484,1.9499254,5.384062",Electronic,"Jungle, Drum n Bass"
808,Dragon Drop,Kodiak,Dragon Drop + Eliphino Remix,2013,,Unknown to the Unknown,/mnt/d/UTTU/Kodiak/Kodiak - Dragon Drop + Eliphino Remix - 01 Dragon Drop.mp3,112.34714673913044,"-36.594612,74.16498,13.210414,12.423468,-2.518712,12.96697,-4.0687404,6.502968,-2.712657,1.0965209,2.1184494,2.6872578,3.736409,4.2043934,-1.1870891,2.3800395,0.50344515,3.9036367,-2.5639129,3.6003385",Search Failed,Search Failed
809,Egyptian Kings,Kodiak,Dragon Drop + Eliphino Remix,2013,,Unknown to the Unknown,/mnt/d/UTTU/Kodiak/Kodiak - Dragon Drop + Eliphino Remix - 02 Egyptian Kings.mp3,129.19921875,"-2.5035648,72.727,4.3950124,8.550788,-0.31230554,11.3493185,-2.793495,11.001991,0.3692254,4.468212,-3.2100263,4.0249968,-5.1674824,4.5254774,-4.986034,2.866719,-4.089573,1.599194,-2.580773,-1.6744287",Search Failed,Search Failed
810,Dragon Drop (Eliphino Remix),Kodiak,Dragon Drop + Eliphino Remix,2013,,Unknown to the Unknown,/mnt/d/UTTU/Kodiak/Kodiak - Dragon Drop + Eliphino Remix - 03 Dragon Drop (Eliphino Remix).mp3,83.35433467741936,"-19.619596,59.839043,12.330206,18.260946,0.92548156,10.771837,-4.798361,9.853671,-7.010367,1.1226414,-5.6140313,0.37735057,-3.3540168,6.132536,-1.7848104,2.3330545,-1.8209766,-0.9595828,-5.2299066,2.791626",Search Failed,Search Failed
811,Just A Little (Sunday Service),Krystal Klear,Dedication EP (FREE DOWLOAD),2018,,Unknown to the Unknown,/mnt/d/UTTU/Krystal Klear/Krystal Klear - Dedication EP (FREE DOWLOAD) - 01 Just A Little (Sunday Service).mp3,83.35433467741936,"-12.260172,40.996883,7.492301,12.602506,7.7353196,16.302826,-0.6976277,3.895176,-1.706549,9.915963,-3.6009986,4.618885,-1.5955119,3.4861581,0.65756226,0.6339405,-5.037363,-0.10336094,-5.228219,-1.1676705",Search Failed,Search Failed
812,Just A Little (Twilo Mix),Krystal Klear,Dedication EP (FREE DOWLOAD),2018,,Unknown to the Unknown,/mnt/d/UTTU/Krystal Klear/Krystal Klear - Dedication EP (FREE DOWLOAD) - 02 Just A Little (Twilo Mix).mp3,161.4990234375,"-34.471973,40.250515,18.814602,5.8963094,-8.706907,5.6307874,-5.3205314,2.5843778,-2.0395205,4.4979415,-4.468737,2.3638399,-1.9866979,1.2729895,-5.0697474,-2.1366415,-5.468939,0.9154218,-6.520666,1.4398085",Search Failed,Search Failed
813,Dedication (Sound Factory Mix),Krystal Klear,Dedication EP (FREE DOWLOAD),2018,,Unknown to the Unknown,/mnt/d/UTTU/Krystal Klear/Krystal Klear - Dedication EP (FREE DOWLOAD) - 03 Dedication (Sound Factory Mix).mp3,63.02400914634146,"-38.10242,27.457884,21.409641,10.392298,6.418974,12.15671,-0.06812916,3.2912242,-1.6954514,7.5381727,-4.180581,-1.5738515,-5.7739186,-1.1915141,-4.2335987,1.9578432,-5.9050817,1.1599752,-3.1656828,1.3638076",Search Failed,Search Failed
814,Dedication (N_A_S_A Mix),Krystal Klear,Dedication EP (FREE DOWLOAD),2018,,Unknown to the Unknown,/mnt/d/UTTU/Krystal Klear/Krystal Klear - Dedication EP (FREE DOWLOAD) - 04 Dedication (N_A_S_A Mix).mp3,135.99917763157896,"-53.339783,55.372356,35.163292,21.552011,11.264881,23.660295,5.453689,11.909494,0.7920525,8.6263485,1.5905467,2.0834644,-0.7850012,2.4977438,-0.5040918,5.060916,-4.824487,1.856158,-0.42502362,2.5110598",Search Failed,Search Failed
815,Just A Little (Sunday Service),Krystal Klear,Dedication EP (FREE DOWLOAD),2018,,Unknown to the Unknown,/mnt/d/UTTU/Krystal Klear - Dedication EP (FREE DOWLOAD)/Krystal Klear - Dedication EP (FREE DOWLOAD) - 01 Just A Little (Sunday Service).mp3,83.35433467741936,"-12.260172,40.996883,7.492301,12.602506,7.7353196,16.302826,-0.6976277,3.895176,-1.706549,9.915963,-3.6009986,4.618885,-1.5955119,3.4861581,0.65756226,0.6339405,-5.037363,-0.10336094,-5.228219,-1.1676705",Search Failed,Search Failed
816,Just A Little (Twilo Mix),Krystal Klear,Dedication EP (FREE DOWLOAD),2018,,Unknown to the Unknown,/mnt/d/UTTU/Krystal Klear - Dedication EP (FREE DOWLOAD)/Krystal Klear - Dedication EP (FREE DOWLOAD) - 02 Just A Little (Twilo Mix).mp3,161.4990234375,"-34.471973,40.250515,18.814602,5.8963094,-8.706907,5.6307874,-5.3205314,2.5843778,-2.0395205,4.4979415,-4.468737,2.3638399,-1.9866979,1.2729895,-5.0697474,-2.1366415,-5.468939,0.9154218,-6.520666,1.4398085",Search Failed,Search Failed
817,Dedication (Sound Factory Mix),Krystal Klear,Dedication EP (FREE DOWLOAD),2018,,Unknown to the Unknown,/mnt/d/UTTU/Krystal Klear - Dedication EP (FREE DOWLOAD)/Krystal Klear - Dedication EP (FREE DOWLOAD) - 03 Dedication (Sound Factory Mix).mp3,63.02400914634146,"-38.10242,27.457884,21.409641,10.392298,6.418974,12.15671,-0.06812916,3.2912242,-1.6954514,7.5381727,-4.180581,-1.5738515,-5.7739186,-1.1915141,-4.2335987,1.9578432,-5.9050817,1.1599752,-3.1656828,1.3638076",Search Failed,Search Failed
818,Dedication (N_A_S_A Mix),Krystal Klear,Dedication EP (FREE DOWLOAD),2018,,Unknown to the Unknown,/mnt/d/UTTU/Krystal Klear - Dedication EP (FREE DOWLOAD)/Krystal Klear - Dedication EP (FREE DOWLOAD) - 04 Dedication (N_A_S_A Mix).mp3,135.99917763157896,"-53.339783,55.372356,35.163292,21.552011,11.264881,23.660295,5.453689,11.909494,0.7920525,8.6263485,1.5905467,2.0834644,-0.7850012,2.4977438,-0.5040918,5.060916,-4.824487,1.856158,-0.42502362,2.5110598",Search Failed,Search Failed
819,I Feel Lit,"LA-4A, Ambivalent",I Feel Lit + Alden Tyrell Remix,2016,,Unknown to the Unknown,"/mnt/d/UTTU/LA-4A, Ambivalent/LA-4A, Ambivalent - I Feel Lit + Alden Tyrell Remix - 01 I Feel Lit.mp3",129.19921875,"-110.24458,77.16503,26.591906,28.751305,12.965664,21.23309,9.416498,14.512566,9.655824,11.460751,7.1618924,8.377264,4.582286,11.886,6.631249,5.1611557,0.110877626,4.129192,2.3501627,6.5250583",Search Failed,Search Failed
820,Alarm (Chirp Mix),"LA-4A, Ambivalent",I Feel Lit + Alden Tyrell Remix,2016,,Unknown to the Unknown,"/mnt/d/UTTU/LA-4A, Ambivalent/LA-4A, Ambivalent - I Feel Lit + Alden Tyrell Remix - 02 Alarm (Chirp Mix).mp3",83.35433467741936,"-123.75342,62.346626,40.786003,27.731812,19.63446,23.313545,10.645776,12.936126,4.8301597,11.87762,5.780329,9.587476,0.8115932,4.69243,3.9374144,5.6044664,-0.7710366,4.712973,1.44857,5.504791",Search Failed,Search Failed
821,I Feel Lit (Alden Tyrell Remix),"LA-4A, Ambivalent",I Feel Lit + Alden Tyrell Remix,2016,,Unknown to the Unknown,"/mnt/d/UTTU/LA-4A, Ambivalent/LA-4A, Ambivalent - I Feel Lit + Alden Tyrell Remix - 03 I Feel Lit (Alden Tyrell Remix).mp3",129.19921875,"-65.223785,68.092735,29.554457,29.791573,9.86988,20.592094,1.735706,6.2521963,0.3545195,8.327682,-0.6754855,4.1377883,1.1662865,4.504972,5.62618,7.1782737,-4.7412076,0.9764403,-0.52835935,0.8000829",Search Failed,Search Failed
822,Freeze,Lady Ann,Freeze (Tim Reaper Remix),2022,,Unknown to the Unknown,/mnt/d/UTTU/Lady Ann/Lady Ann - Freeze (Tim Reaper Remix) - 01 Freeze.mp3,161.4990234375,"-74.69491,63.89775,-7.9968753,28.487398,10.844041,1.8715062,9.668344,2.2598786,5.0951743,6.685084,0.7261012,6.1619387,-2.4556396,3.2376971,-3.365228,0.26181838,5.019075,9.950612,11.125739,16.250353","Electronic, Reggae","Jungle, Reggae"
823,Freeze (Tim Reaper Remix),Lady Ann,Freeze (Tim Reaper Remix),2022,,Unknown to the Unknown,/mnt/d/UTTU/Lady Ann/Lady Ann - Freeze (Tim Reaper Remix) - 02 Freeze (Tim Reaper Remix).mp3,112.34714673913044,"-42.676968,46.617386,8.367469,28.3248,8.916755,10.691142,0.06329651,5.3320117,-2.1421456,3.012619,-5.895262,-0.4395105,-5.677963,-0.15428725,-8.816343,-1.2601571,-4.8359847,1.3253528,-6.9169474,2.9113245","Electronic, Reggae","Jungle, Reggae"
824,Freeze,Lady Ann,Freeze (Tim Reaper Remix),2022,,Unknown to the Unknown,/mnt/d/UTTU/Lady Ann - Freeze (Tim Reaper Remix)/Lady Ann - Freeze (Tim Reaper Remix) - 01 Freeze.mp3,161.4990234375,"-74.69491,63.89775,-7.9968753,28.487398,10.844041,1.8715062,9.668344,2.2598786,5.0951743,6.685084,0.7261012,6.1619387,-2.4556396,3.2376971,-3.365228,0.26181838,5.019075,9.950612,11.125739,16.250353","Electronic, Reggae","Jungle, Reggae"
825,Freeze (Tim Reaper Remix),Lady Ann,Freeze (Tim Reaper Remix),2022,,Unknown to the Unknown,/mnt/d/UTTU/Lady Ann - Freeze (Tim Reaper Remix)/Lady Ann - Freeze (Tim Reaper Remix) - 02 Freeze (Tim Reaper Remix).mp3,112.34714673913044,"-42.676968,46.617386,8.367469,28.3248,8.916755,10.691142,0.06329651,5.3320117,-2.1421456,3.012619,-5.895262,-0.4395105,-5.677963,-0.15428725,-8.816343,-1.2601571,-4.8359847,1.3253528,-6.9169474,2.9113245","Electronic, Reggae","Jungle, Reggae"
826,Water Reflection (Intro),Lake Haze,Force Of Nature,2014,,Unknown to the Unknown,/mnt/d/UTTU/Lake Haze/Lake Haze - Force Of Nature - 01 Water Reflection (Intro).mp3,135.99917763157896,"-168.96402,128.87845,16.66167,11.451296,12.792595,18.690542,4.785373,-9.797245,-8.201705,0.6184721,1.0808331,2.4831085,4.5008163,13.52954,10.294725,5.2598104,-1.6595732,2.789986,5.9133735,9.752906",Electronic,"House, UK Garage"
827,Brandy Riddim,Lake Haze,Force Of Nature,2014,,Unknown to the Unknown,/mnt/d/UTTU/Lake Haze/Lake Haze - Force Of Nature - 02 Brandy Riddim.mp3,86.1328125,"-121.32831,91.20745,23.437048,10.339982,4.4672666,5.2883396,9.154715,12.334651,1.4498183,11.916677,-4.156461,2.3262372,-0.62866414,-1.6593366,-3.437444,5.9091344,3.1946633,4.985006,-1.9065759,-1.9798427",Electronic,"House, UK Garage"
828,Typhoon Riddim,Lake Haze,Force Of Nature,2014,,Unknown to the Unknown,/mnt/d/UTTU/Lake Haze/Lake Haze - Force Of Nature - 03 Typhoon Riddim.mp3,92.28515625,"-51.60823,62.55136,6.3583035,25.574322,11.406528,24.062374,6.527474,14.356461,3.0985844,5.766952,1.6992222,8.60326,2.6096227,7.6867785,2.9383662,6.7172728,0.5016424,4.8280735,4.0704703,8.762365",Electronic,"House, UK Garage"
829,Vapour Riddim,Lake Haze,Force Of Nature,2014,,Unknown to the Unknown,/mnt/d/UTTU/Lake Haze/Lake Haze - Force Of Nature - 04 Vapour Riddim.mp3,86.1328125,"-123.5425,77.28174,-7.9562616,14.839224,2.7115586,0.348,0.4136036,5.9110513,-2.3528655,11.600856,1.3390723,6.1758504,6.2200437,8.97774,-1.3253349,2.237478,-2.8422108,-0.33526263,-1.5296899,2.2086492",Electronic,"House, UK Garage"
830,Lightning Riddim,Lake Haze,Force Of Nature,2014,,Unknown to the Unknown,/mnt/d/UTTU/Lake Haze/Lake Haze - Force Of Nature - 05 Lightning Riddim.mp3,129.19921875,"-87.05589,57.54897,45.857964,29.176691,-5.5101686,22.629215,-4.589492,9.784957,-0.6131378,6.4206433,-1.1328014,7.3491173,2.2061996,8.510954,3.1849716,2.1551979,-1.1764873,7.284471,4.6611695,5.90043",Electronic,"House, UK Garage"
831,Tsunami Riddim,Lake Haze,Force Of Nature,2014,,Unknown to the Unknown,/mnt/d/UTTU/Lake Haze/Lake Haze - Force Of Nature - 06 Tsunami Riddim.mp3,92.28515625,"-35.666252,56.665943,18.022099,13.611665,13.770335,15.932066,3.8058772,8.560779,2.5713503,4.4015565,-1.278696,3.3161824,1.936061,8.0011835,3.651384,5.021898,-5.3388844,0.40897095,0.04549811,9.161753",Electronic,"House, UK Garage"
832,Late Night Trip,Lake Haze,Late Night Trip,2013,,Unknown to the Unknown,/mnt/d/UTTU/Lake Haze/Lake Haze - Late Night Trip - 01 Late Night Trip.mp3,64.599609375,"-103.66653,115.82634,10.437175,19.488861,13.694815,14.9965925,5.7142954,6.535917,2.6474311,3.0789225,-2.3680456,-2.7184913,-3.9683492,-1.7528106,-4.1295667,2.219049,0.5939079,0.9091194,-3.2889938,-3.0518177",Electronic,"House, UK Garage"
833,Need For Speed,Lake Haze,Late Night Trip,2013,,Unknown to the Unknown,/mnt/d/UTTU/Lake Haze/Lake Haze - Late Night Trip - 02 Need For Speed.mp3,129.19921875,"-32.487705,93.26023,3.9956305,13.401446,1.9657115,8.4657755,1.4491856,5.985199,-1.936827,2.1555483,-1.7203463,2.1807618,0.3521336,1.5773731,-2.0477726,5.438572,0.9251948,0.7923139,-0.4720973,5.491421",Electronic,"House, UK Garage"
834,Love In Lux,Lake Haze,Love In Lux + DJ Boring Remix,2017,,Unknown to the Unknown,/mnt/d/UTTU/Lake Haze/Lake Haze - Love In Lux + DJ Boring Remix - 01 Love In Lux.mp3,161.4990234375,"-39.15771,85.61461,-21.197481,22.07274,-3.5305667,11.000477,-7.1203094,5.3087134,-8.654091,2.608927,-4.5284004,5.3475842,-1.8580365,6.3538513,-2.6763988,3.646731,-1.7918403,3.471755,-1.2848704,3.0364113",Search Failed,Search Failed
835,Apollonia,Lake Haze,Love In Lux + DJ Boring Remix,2017,,Unknown to the Unknown,/mnt/d/UTTU/Lake Haze/Lake Haze - Love In Lux + DJ Boring Remix - 02 Apollonia.mp3,129.19921875,"-70.627525,76.995766,18.84727,35.21737,4.546889,19.469357,-1.7774581,10.512267,-2.5487058,4.128396,-3.9733326,-0.6305307,-3.0448833,0.83860815,-0.67457616,3.2978752,-3.425784,-0.56620026,-6.250075,-1.7546546",Search Failed,Search Failed
836,Love In Lux (DJ Boring Remix),Lake Haze,Love In Lux + DJ Boring Remix,2017,,Unknown to the Unknown,/mnt/d/UTTU/Lake Haze/Lake Haze - Love In Lux + DJ Boring Remix - 03 Love In Lux (DJ Boring Remix).mp3,129.19921875,"-85.06843,67.47199,28.370895,7.931452,-3.3736727,12.466792,7.3452277,13.407287,-6.2766824,0.051092785,-4.0302052,8.690738,1.668871,7.1898384,-0.28126413,2.5517666,-4.6722927,0.736684,-0.98613393,0.49292177",Search Failed,Search Failed
837,It's Ours,Lauren Flax,Dance Trax Vol.16 + Jimmy Edgar Remix,2018,,Unknown to the Unknown,/mnt/d/UTTU/Lauren Flax/Lauren Flax - Dance Trax Vol.16 + Jimmy Edgar Remix - 01 It's Ours.mp3,123.046875,"-120.50439,66.90157,7.5055037,22.035244,3.7277539,13.269332,4.66749,10.609699,0.6137131,8.575575,2.0222726,4.755209,-0.58161646,2.4942288,-0.78780395,2.4457932,-2.4930453,-0.023748692,-3.4185882,1.5599282",Search Failed,Search Failed
838,It's Ours (Jimmy Edgar Remix),Lauren Flax,Dance Trax Vol.16 + Jimmy Edgar Remix,2018,,Unknown to the Unknown,/mnt/d/UTTU/Lauren Flax/Lauren Flax - Dance Trax Vol.16 + Jimmy Edgar Remix - 02 It's Ours (Jimmy Edgar Remix).mp3,129.19921875,"-186.50595,100.30137,27.541376,25.108438,21.184761,16.844648,2.7173052,6.148434,1.7446293,7.4495697,4.9918356,9.624344,1.4374337,0.62389594,-0.49572292,4.645259,1.0833938,4.260906,4.3098593,3.7397547",Search Failed,Search Failed
839,Your Mom Likes Flange,Lauren Flax,Dance Trax Vol.16 + Jimmy Edgar Remix,2018,,Unknown to the Unknown,/mnt/d/UTTU/Lauren Flax/Lauren Flax - Dance Trax Vol.16 + Jimmy Edgar Remix - 03 Your Mom Likes Flange.mp3,123.046875,"-103.9567,42.139294,19.363775,24.165867,10.4558735,19.843473,6.209488,12.2277565,1.7064201,8.584755,0.5998611,6.449374,2.2508562,4.5830984,3.5687723,3.9598258,-3.8301427,0.15845099,0.35767883,4.6717834",Search Failed,Search Failed
840,Acid Ghetto,Lauren Flax,Dance Trax Vol.16 + Jimmy Edgar Remix,2018,,Unknown to the Unknown,/mnt/d/UTTU/Lauren Flax/Lauren Flax - Dance Trax Vol.16 + Jimmy Edgar Remix - 04 Acid Ghetto.mp3,129.19921875,"-113.69872,89.64779,22.992588,15.481785,5.0946374,14.237873,7.1457276,11.848648,5.5895743,10.346233,6.1037526,7.693516,4.055208,6.1397357,1.9097677,4.3571887,-1.1587478,-0.5298119,-4.835701,-4.0391884",Search Failed,Search Failed
841,Sequenc_tial Discord,Lauren Flax,Dance Trax Vol.16 + Jimmy Edgar Remix,2018,,Unknown to the Unknown,/mnt/d/UTTU/Lauren Flax/Lauren Flax - Dance Trax Vol.16 + Jimmy Edgar Remix - 05 Sequenc_tial Discord.mp3,129.19921875,"-165.4865,54.3118,34.41706,20.612494,10.478603,13.4931555,1.7602783,7.0704784,-3.239869,1.3557839,-4.7866044,-0.38669413,-1.5038041,1.8387653,-1.9664521,1.5250058,-2.5034082,0.16289794,-1.8871411,4.8835454",Search Failed,Search Failed
842,Immensity Of Cosmic Space,Legowelt,Immensity Of Cosmic Space,2015,,Unknown to the Unknown,/mnt/d/UTTU/Legowelt/Legowelt - Immensity Of Cosmic Space - 01 Immensity Of Cosmic Space.mp3,135.99917763157896,"-105.34526,87.15997,16.406853,15.850391,0.6812652,25.916958,-2.8271875,25.606722,2.3474052,19.030592,0.4517292,13.656004,4.555873,12.893287,7.4869514,8.504837,2.462404,7.5293727,4.0136147,5.1604624",Electronic,"Techno, Acid House, Breakbeat"
843,Palm Trees In The Rain,Legowelt,Immensity Of Cosmic Space,2015,,Unknown to the Unknown,/mnt/d/UTTU/Legowelt/Legowelt - Immensity Of Cosmic Space - 02 Palm Trees In The Rain.mp3,129.19921875,"-65.76234,84.0062,-42.147404,32.435005,-0.13805334,26.95745,-0.055300985,25.607584,7.134404,18.197607,8.884586,14.439315,8.666837,8.745463,9.273756,11.722753,3.5429835,5.1227703,2.6642318,1.8563727",Electronic,"Techno, Acid House, Breakbeat"
844,Lumeria,Legowelt,Immensity Of Cosmic Space,2015,,Unknown to the Unknown,/mnt/d/UTTU/Legowelt/Legowelt - Immensity Of Cosmic Space - 03 Lumeria.mp3,69.83741554054055,"-72.800766,100.47067,-8.760893,42.361446,-17.100056,28.135984,1.7536428,17.705648,3.0949187,9.03657,3.6859467,11.088855,7.4672823,7.295592,2.1649606,8.673126,2.3802927,5.6060934,-1.0678921,1.5704705",Electronic,"Techno, Acid House, Breakbeat"
845,Phase 5,Legowelt,Immensity Of Cosmic Space,2015,,Unknown to the Unknown,/mnt/d/UTTU/Legowelt/Legowelt - Immensity Of Cosmic Space - 04 Phase 5.mp3,129.19921875,"-51.958748,104.53432,-34.134598,32.396053,7.206321,18.448217,-1.5324097,17.25409,-1.3096917,11.360989,2.7064817,5.2785583,-3.56322,0.7875221,-3.8045328,-0.74269235,-5.1420584,0.93369776,-4.525399,-1.5703738",Electronic,"Techno, Acid House, Breakbeat"
846,Institute of the Overmind,Legowelt,Institute of the Overmind (Free Download),2016,,Unknown to the Unknown,/mnt/d/UTTU/Legowelt/Legowelt - Institute of the Overmind (Free Download) - 01 Institute of the Overmind.mp3,123.046875,"-91.5324,101.58385,-19.316439,25.461767,-18.31111,26.174269,-7.9109187,7.0907683,-3.8761702,-1.9710053,0.2771029,-4.455532,0.49150813,4.10064,-1.4756918,6.9397535,0.34212035,3.6894538,2.9131315,5.5023465",Search Failed,Search Failed
847,Institute of the Overmind (Photonz Remix),Legowelt,Institute of the Overmind (Free Download),2016,,Unknown to the Unknown,/mnt/d/UTTU/Legowelt/Legowelt - Institute of the Overmind (Free Download) - 02 Institute of the Overmind (Photonz Remix).mp3,83.35433467741936,"-109.05939,68.05089,16.036562,27.233164,3.7823737,23.647314,6.9998045,18.00072,5.681137,8.552345,5.014227,5.80598,1.927161,6.9242573,1.2772957,6.545106,3.0637696,6.1866717,4.4199696,6.3935018",Search Failed,Search Failed
848,Sampling Winter,Legowelt,Sampling Winter,2019,,Unknown to the Unknown,/mnt/d/UTTU/Legowelt/Legowelt - Sampling Winter - 01 Sampling Winter.mp3,123.046875,"-80.97664,129.09848,-20.29219,58.408398,6.0601716,14.58841,13.380015,0.545026,3.948393,7.145697,1.9645665,7.274145,5.1283755,7.0613685,3.2253616,8.853427,5.088267,8.830688,5.2160335,4.5458016",Search Failed,Search Failed
849,Beach Oceano,Legowelt,Sampling Winter,2019,,Unknown to the Unknown,/mnt/d/UTTU/Legowelt/Legowelt - Sampling Winter - 02 Beach Oceano.mp3,117.45383522727273,"-76.46452,125.942696,8.6736765,34.762993,2.9101722,23.12204,2.853402,12.630624,4.61036,10.32111,0.9894607,5.523464,2.039592,2.2113113,1.6343534,0.16257302,-3.3704205,3.7823966,5.6227016,4.1375465",Search Failed,Search Failed
850,Stargazing,Legowelt,Stargazing EP,2014,,Unknown to the Unknown,/mnt/d/UTTU/Legowelt/Legowelt - Stargazing EP - 01 Stargazing.mp3,99.38401442307692,"-63.354156,113.509346,-18.802473,22.605215,4.5046477,9.683948,-3.7036796,10.383074,-0.84434325,3.134854,0.009850498,2.0246654,-0.56529444,0.94988114,-0.8229292,4.6961856,-1.0290112,2.9173265,-0.61447257,0.80505776",Search Failed,Search Failed
851,Visions In My Mind,Legowelt,Stargazing EP,2014,,Unknown to the Unknown,/mnt/d/UTTU/Legowelt/Legowelt - Stargazing EP - 02 Visions In My Mind.mp3,117.45383522727273,"-78.710686,135.57866,-24.106934,32.298237,11.292325,14.743309,-1.8432244,11.576786,-0.80136585,11.813657,2.010021,5.308696,-0.031092294,1.5330082,-0.71189445,3.31138,1.4538692,3.5582423,2.0601678,2.107297",Search Failed,Search Failed
852,Wayfaring Stranger,Legowelt,Stargazing EP,2014,,Unknown to the Unknown,/mnt/d/UTTU/Legowelt/Legowelt - Stargazing EP - 03 Wayfaring Stranger.mp3,123.046875,"-50.341816,104.14946,-32.19055,38.330547,6.3823843,7.723947,5.9017315,20.075356,-1.711295,12.260146,0.6602765,8.577449,4.931408,8.150686,6.699629,5.249877,8.347035,3.4134464,-2.810293,9.356295",Search Failed,Search Failed
853,Shelter,Lis Sarroca,Shelter EP,2020,,Unknown to the Unknown,/mnt/d/UTTU/Lis Sarroca/Lis Sarroca - Shelter EP - 01 Shelter.mp3,129.19921875,"-74.030106,38.76047,26.109848,10.487116,5.999332,14.354745,6.674018,7.270937,0.83110934,3.7496428,-1.7357213,3.119114,-6.4139166,-3.013981,-4.870288,-0.24646711,-4.6007915,-0.2493496,-2.4212232,-1.5924826",Search Failed,Search Failed
854,Moody Wax,Lis Sarroca,Shelter EP,2020,,Unknown to the Unknown,/mnt/d/UTTU/Lis Sarroca/Lis Sarroca - Shelter EP - 02 Moody Wax.mp3,129.19921875,"-40.934723,22.892975,40.075684,24.028252,3.7519958,18.123085,-4.0133963,8.672321,-4.8852367,2.6443493,-6.269651,1.7558998,-3.0840845,3.8679578,0.57417005,5.5668464,-0.5513563,4.4061017,-0.23751153,2.115233",Search Failed,Search Failed
855,Saved By The Bell,Lis Sarroca,Shelter EP,2020,,Unknown to the Unknown,/mnt/d/UTTU/Lis Sarroca/Lis Sarroca - Shelter EP - 03 Saved By The Bell.mp3,99.38401442307692,"-72.0708,55.191628,48.2559,12.663239,7.22089,9.1760845,-4.322716,-0.63481563,-13.390807,-3.0629737,-12.326906,-0.4799497,-5.4884067,-0.8292058,0.46689075,3.7997172,-0.1483098,5.599239,2.2976928,4.0555124",Search Failed,Search Failed
856,Wavve,Lis Sarroca,Shelter EP,2020,,Unknown to the Unknown,/mnt/d/UTTU/Lis Sarroca/Lis Sarroca - Shelter EP - 04 Wavve.mp3,135.99917763157896,"-121.752625,28.450533,46.02325,29.237633,17.352158,17.427006,8.99368,1.3751757,-0.8197352,-1.4261632,-3.006894,-1.0976624,-3.8605762,1.7506306,-3.5318964,2.6905148,-5.1020107,0.15984881,-2.7172654,-2.1095335",Search Failed,Search Failed
857,Deepcore,Locklead,Deepcore EP,2015,,Unknown to the Unknown,/mnt/d/UTTU/Locklead/Locklead - Deepcore EP - 01 Deepcore.mp3,129.19921875,"-164.92545,78.91876,15.418794,42.6553,8.167695,29.2971,8.377488,14.617212,5.595486,8.58869,3.8272626,4.845578,0.7134543,2.343641,0.30099356,2.7252707,-1.4123038,0.5781071,-1.5669374,0.66262",Search Failed,Search Failed
858,Diversity,Locklead,Deepcore EP,2015,,Unknown to the Unknown,/mnt/d/UTTU/Locklead/Locklead - Deepcore EP - 02 Diversity.mp3,129.19921875,"-133.36868,26.084202,-6.215589,5.520628,-3.2181587,11.863124,7.158201,14.152228,4.3254375,7.907497,3.7241893,8.259494,2.703305,7.7257085,2.7897344,8.776929,2.8497014,4.120254,0.05545243,3.3106723",Search Failed,Search Failed
859,Take One,Locklead,Deepcore EP,2015,,Unknown to the Unknown,/mnt/d/UTTU/Locklead/Locklead - Deepcore EP - 03 Take One.mp3,67.99958881578948,"-176.19955,75.70747,8.061277,21.216587,4.533782,15.078547,-4.4669127,-0.60529965,9.479885,16.10158,1.7179028,-2.4557383,0.3251419,4.3484745,-3.5510101,-6.395133,-12.966935,-12.07018,-9.847535,-0.852557",Search Failed,Search Failed
860,Drown In Ur Love,"Lords Of Midnite, Legowelt",Drown In Ur Love EP,2014,,Unknown to the Unknown,"/mnt/d/UTTU/Lords Of Midnite, Legowelt/Lords Of Midnite, Legowelt - Drown In Ur Love EP - 01 Drown In Ur Love.mp3",123.046875,"-53.639404,81.17603,-17.480442,39.442543,9.114176,36.708183,0.9750852,12.314296,-8.801592,8.709202,2.5415823,9.730125,-0.07742202,8.900495,-1.5667733,3.343473,-5.046247,-0.3634407,-4.241161,7.470442",Search Failed,Search Failed
